id,title,alt_titles,hash,year,artist_name,src,width_px,height_px,faille_id,hulsker_id,is_wikiart_vangogh_oil_painting,is_lmi_concordance_vangogh_oil_painting,exclude_from_training,run_1,run_1_train_val_test_images,run_2,run_2_train_test_images,run_3,run_3_train_test_images,run_4,run_4_train_test_images,run_5,run_5_train_test_images,run_6,run_6_train_test_images,run_7,run_7_train_test_images
53,Girl in the Woods,,a406914ac90eaef3a87f83b84103e86ff870620fae930be846edb9567d528314.jpg,1882,Vincent van Gogh,https://uploads3.wikiart.org/images/vincent-van-gogh/girl-in-the-woods-1882(1).jpg,1280,908,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
54,Girl in White in the Woods,,58df3d890387dea1da6fcf3838e22aa9eeec6aec091323e685f8bf4c6dd6c3cc.jpg,1882,Vincent van Gogh,https://uploads3.wikiart.org/images/vincent-van-gogh/girl-in-white-in-the-woods-1882(1).jpg,2751,1749,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,train,0,0,0,0,0,0
55,Iron Mill in The Hague,,9006ab9c9834400c2df8f11dc032fddd9df542809abb9f26de44760777ea25b1.jpg,1882,Vincent van Gogh,https://uploads5.wikiart.org/images/vincent-van-gogh/iron-mill-in-the-hague-1882.jpg,2660,1624,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
56,Man Stooping with Stick or Spade,,44931a5e1e002a3ca81e15ef381508293f45b26caab3ba851f1f08d5b003eb7e.jpg,1882,Vincent van Gogh,https://uploads6.wikiart.org/images/vincent-van-gogh/man-stooping-with-stick-or-spade-1882.jpg,2321,2422,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,train,0,0,0,0,0,0
57,Shores of Scheveningen,,9a286159ea49af943592cba46d8203a90ce3e6109a5205182693ce83b6f3fd21.jpg,1882,Vincent van Gogh,https://uploads5.wikiart.org/images/vincent-van-gogh/shores-of-scheveningen-1882.jpg,721,507,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
58,Two Women in the Woods,,95955ac7b0939823f7ab2e6fc228733d732a2ebfb488af7421840dcb69aaa52e.jpg,1882,Vincent van Gogh,https://uploads5.wikiart.org/images/vincent-van-gogh/two-women-in-the-woods-1882.jpg,1754,2139,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
59,View of the Sea at Scheveningen,,e5c43ad297551b096924df2bd824b25b17e1f599ed898109aaef0a7b53f428df.jpg,1882,Vincent van Gogh,https://uploads5.wikiart.org/images/vincent-van-gogh/view-of-the-sea-at-scheveningen-1882.jpg,2722,1907,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
60,Women Mending Nets in the Dunes,,dde129b78757399ad202a4ac750cc1752a7c5ca3b4df5e209e53e18dd0046157.jpg,1882,Vincent van Gogh,https://uploads5.wikiart.org/images/vincent-van-gogh/women-mending-nets-in-the-dunes-1882.jpg,1024,688,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
61,Bulb Fields,,992274dffde60ce4ad1d7e79744f235d2f3f6ce2ae73642711d7d8cd2731ec52.jpg,1883,Vincent van Gogh,https://uploads6.wikiart.org/images/vincent-van-gogh/bulb-fields-1883(1).jpg,2722,2009,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
62,Cottages,,66c5436eabbefdd3b9d7baaf267997f181bbba01f769fca71151e5b5b01d1224.jpg,1883,Vincent van Gogh,https://uploads3.wikiart.org/images/vincent-van-gogh/cottages-1883(1).jpg,2769,1719,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
63,Farmhouse with Peat Stacks,,34c603bb6b657688d1c7bce5dee53f98097ec402270a77352db9bbc6e466a5a7.jpg,1883,Vincent van Gogh,https://uploads3.wikiart.org/images/vincent-van-gogh/farmhouse-with-peat-stacks-1883(1).jpg,1139,756,,,TRUE,FALSE,FALSE,1,test,0,0,0,0,0,0,0,0,0,0,0,0
64,Farmhouses Among Trees,,db651a5638a2048fbf7ce050c22d19767068cf9df4bdcf44a57b6e3711104b6a.jpg,1883,Vincent van Gogh,https://uploads8.wikiart.org/images/vincent-van-gogh/farmhouses-among-trees-1883(1).jpg,2710,1898,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
65,Farmhouses in Loosduinen near The Hague at Twilight,,3faa7382b8fb1c85d730a7c9b8da8e6ce6c705318101c376a9b7dddd1f789e52.jpg,1883,Vincent van Gogh,https://uploads1.wikiart.org/images/vincent-van-gogh/farmhouses-in-loosduinen-near-the-hague-at-twilight-1883(1).jpg,2740,1785,,,TRUE,FALSE,FALSE,1,val,0,0,0,0,0,0,0,0,0,0,0,0
66,Landscape with Dunes,,e0854d30f8cde83fc0ee6345922f31d9dddab4ccc760d43ef9335060579b9f42.jpg,1883,Vincent van Gogh,https://uploads3.wikiart.org/images/vincent-van-gogh/landscape-with-dunes-1883.jpg,1776,1212,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
67,Lying Cow,,32b0faa3e48518aa20e3024c28d0ddaddcafbbad3f7c988e5b4ea96ba58ebf6d.jpg,1883,Vincent van Gogh,https://uploads1.wikiart.org/images/vincent-van-gogh/lying-cow-1883.jpg,1770,1050,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,train,0,0,0,0,0,0
68,Peasant Burning Weeds,,d1bceb3cc296cdf2e877f146abac460d8e298b62a92cf711ff2888987d3891c2.jpg,1883,Vincent van Gogh,https://uploads4.wikiart.org/images/vincent-van-gogh/peasant-burning-weeds-1883.jpg,1280,973,,,TRUE,FALSE,FALSE,1,val,0,0,0,0,0,0,0,0,0,0,0,0
69,Two Women in the Moor,,e7cbe85bde96dd8523406dcdc1fabe317fbd9170da2af01bc6b592a42017dc8a.jpg,1883,Vincent van Gogh,https://uploads4.wikiart.org/images/vincent-van-gogh/two-women-in-the-moor-1883.jpg,2727,2036,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,train,0,0,0,0,0,0
70,Avenue of Poplars at Sunset,,54ce941de7b51cb8e395d4653bd133744b1f960a97e95f57309a400abb8bc593.jpg,1884,Vincent van Gogh,https://uploads4.wikiart.org/images/vincent-van-gogh/avenue-of-poplars-at-sunset-1884(1).jpg,854,1234,,,TRUE,FALSE,FALSE,1,test,0,0,0,0,0,0,0,0,0,0,0,0
71,Avenue of Poplars at Sunset,,5eda4a0f21da6481e484494db73ed5363584a9e20f7a6db9e75accac4368a2f0.jpg,1884,Vincent van Gogh,https://uploads6.wikiart.org/images/vincent-van-gogh/avenue-of-poplars-at-sunset-1884-1(1).jpg,1576,2388,,,TRUE,FALSE,FALSE,1,test,0,0,0,0,1,train,0,0,0,0,0,0
72,Cart with Black Ox,,66b0a988b8a004cb86760980e21ae396624db79ca10e342183f32b575f03cb28.jpg,1884,Vincent van Gogh,https://uploads4.wikiart.org/images/vincent-van-gogh/cart-with-black-ox-1884(1).jpg,1024,753,,,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Cart with Red and White Ox,,1d99793fcfb2d2d670c127f8654338a3d910a068bc398b000463481720284c88.jpg,1884,Vincent van Gogh,https://uploads3.wikiart.org/images/vincent-van-gogh/cart-with-red-and-white-ox-1884(1).jpg,2769,1839,,,TRUE,FALSE,FALSE,1,val,0,0,0,0,0,0,0,0,0,0,0,0
74,Congregation Leaving the Reformed Church in Nuenen,,f928fa721d4496c7965809011782f7ad051db6d6563ce20bed4e2a8689e0cf28.jpg,1884,Vincent van Gogh,https://uploads0.wikiart.org/images/vincent-van-gogh/congregation-leaving-the-reformed-church-in-nuenen-1884(1).jpg,2081,2730,,,TRUE,FALSE,FALSE,1,val,0,0,0,0,1,train,0,0,0,0,0,0
75,Head of a Peasant Woman,,9866e78718ed7dc5b1f2e005e295a62f0a6847bdc3a4bba9e88fa290aa88ee0b.jpg,1884,Vincent van Gogh,https://uploads0.wikiart.org/images/vincent-van-gogh/head-of-a-peasant-woman-1884(1).jpg,850,1198,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,train,0,0,0,0,0,0
76,Head of a Peasant Woman with White Cap,,9e4654251a80866fdda6a4786c5452711a9f9b8f1a2e263e27ef584404310edb.jpg,1884,Vincent van Gogh,https://uploads6.wikiart.org/images/vincent-van-gogh/head-of-a-peasant-woman-with-white-cap-1884(1).jpg,435,565,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,test,0,0,0,0,0,0
77,Head of an Old Peasant Woman with White Cap,,1471234a2756bbe8702a5b674f4156f709810f5b1183911fc6b2b6c83146f82f.jpg,1884,Vincent van Gogh,https://uploads8.wikiart.org/images/vincent-van-gogh/head-of-an-old-peasant-woman-with-white-cap-1884.jpg,1333,1659,,,TRUE,FALSE,FALSE,1,val,0,0,0,0,1,train,0,0,0,0,0,0
78,Head of an Old Peasant Woman with White Cap,,836c43c67909712c801d820ebeb0d1ea20493ccc3812c8fc1d9b1957746b19be.jpg,1884,Vincent van Gogh,https://uploads1.wikiart.org/images/vincent-van-gogh/head-of-an-old-peasant-woman-with-white-cap-1884-1.jpg,1337,1666,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
79,Landscape with Pollard Willows,,f2a28caa9a9ac2af34be25f6e81254e1b1fc290ae2be8a729a95e3636fcd81a6.jpg,1884,Vincent van Gogh,https://uploads4.wikiart.org/images/vincent-van-gogh/landscape-with-pollard-willows-1884.jpg,1024,739,,,TRUE,FALSE,FALSE,1,val,0,0,0,0,0,0,0,0,0,0,0,0
80,New-Born Calf Lying on Straw,,3b3c81ce875866672a43ed7b0dbf1385192b88707cb6d9c19e673a1de7f022fc.jpg,,Vincent van Gogh,https://uploads6.wikiart.org/images/vincent-van-gogh/new-born-calf-lying-on-straw.jpg,1774,1242,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
81,Peasants planting potatoes,,5b43173b137e2cb866d95fb1d07e13511ef11c5adf8c503f9620bc8fe858518e.jpg,1884,Vincent van Gogh,https://uploads0.wikiart.org/images/vincent-van-gogh/peasants-planting-potatoes-1884.jpg,2943,1223,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
82,Ploughman with Woman Planting Potatoes,,33bb888344112182a4345251c2132a33b132ea69c5f2486d9ef6e44dbe4c4761.jpg,1884,Vincent van Gogh,https://uploads3.wikiart.org/images/vincent-van-gogh/ploughman-with-woman-planting-potatoes-1884.jpg,1280,535,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
84,Still Life of Paintbrushes in a Flowerpot,,2fd0bcbf261e990027bc552b8ead528c0089391d6459f0e7b44dcc7d7f5f203a.jpg,1884,Vincent van Gogh,https://uploads6.wikiart.org/images/vincent-van-gogh/still-life-of-paintbrushes-in-a-flowerpot-1884.jpg,1145,823,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,train,0,0,0,0,0,0
85,Still Life with Clogs and Pots,,517ca1521b763187a839f74ab25e3b9f4a5a6c0a431a3f91a329d8b9ebc484c6.jpg,1884,Vincent van Gogh,https://uploads4.wikiart.org/images/vincent-van-gogh/still-life-with-clogs-and-pots-1884.jpg,1280,975,,,TRUE,FALSE,FALSE,1,test,0,0,0,0,0,0,0,0,0,0,0,0
86,"Still Life with Coffee Mill, Pipe Case and Jug",,3948117e768cf1b5fb2e09e7a15cc0d11c12df2a0d75bc13960ce9a5227446cf.jpg,1884,Vincent van Gogh,https://uploads1.wikiart.org/images/vincent-van-gogh/still-life-with-coffee-mill-pipe-case-and-jug-1884.jpg,1280,1017,,,TRUE,FALSE,FALSE,1,val,0,0,0,0,0,0,0,0,0,0,0,0
87,Still Life with Five Bottles,,d83613acdaa61f747bcafd5ad0f11d3b74276994888f423a7498d4b58f680756.jpg,1884,Vincent van Gogh,https://uploads2.wikiart.org/images/vincent-van-gogh/still-life-with-five-bottles-1884.jpg,750,648,,,TRUE,FALSE,FALSE,1,val,0,0,0,0,0,0,0,0,0,0,0,0
88,"Still Life with Four Stone Bottles, Flask and White Cup",,1ecb892d5d30f71a238d8ffc414620a47078218203dbc5e439cd5a0ee4c46c60.jpg,1884,Vincent van Gogh,https://uploads1.wikiart.org/images/vincent-van-gogh/still-life-with-four-stone-bottles-flask-and-white-cup-1884.jpg,3071,2394,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,train,0,0,0,0,0,0
89,Still Life with Two Sacks and a Bottle,,195cd1a5d6fb0ba49334aa8d68bbb54bf399a70d4ec13bfebbaa8a16043e472a.jpg,1884,Vincent van Gogh,https://uploads3.wikiart.org/images/vincent-van-gogh/still-life-with-two-sacks-and-a-bottle-1884.jpg,1141,848,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,test,0,0,0,0,0,0
90,The Old Tower,,2dd2eb44cfc2215b5f6a0c5f0877e0e22b43c52964222acc84dbfd06b91e01f2.jpg,1884,Vincent van Gogh,https://uploads5.wikiart.org/images/vincent-van-gogh/the-old-tower-1884.jpg,1139,1024,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
91,The Old Tower in the Fields,,91d8de0d710bbee00d9793bed129d04d744d7274695c4546f9b5d4b203223182.jpg,1884,Vincent van Gogh,https://uploads1.wikiart.org/images/vincent-van-gogh/the-old-tower-in-the-fields-1884.jpg,1280,969,,,TRUE,FALSE,FALSE,1,val,0,0,0,0,0,0,0,0,0,0,0,0
92,Two Rats,,5e86846b04b9ecdc4b7bc74ac1a8b52aa2a545092520eeb50b51ebeb803115f7.jpg,1884,Vincent van Gogh,https://uploads0.wikiart.org/images/vincent-van-gogh/two-rats-1884.jpg,800,564,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,train,0,0,0,0,0,0
93,Vase with Honesty,,24b4f50156fe76277fe0829016f0ce1d3a659800bbf2a51a8957f737c095cad3.jpg,1884,Vincent van Gogh,https://uploads0.wikiart.org/images/vincent-van-gogh/vase-with-honesty-1884.jpg,926,1280,,,TRUE,FALSE,FALSE,1,test,0,0,0,0,0,0,0,0,0,0,0,0
94,Village at sunset,,4aec6ec7f513729bc0307ccaa5b0be372d2deb38beaf951bec8c829657111294.jpg,1884,Vincent van Gogh,https://uploads0.wikiart.org/images/vincent-van-gogh/village-at-sunset-1884.jpg,1145,778,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,test,0,0,0,0,0,0
95,Water Wheels of Mill at Gennep,,aba3a2edf8c217742085c2110831cc262237167110eed218f5efe424f6038fad.jpg,1884,Vincent van Gogh,https://uploads4.wikiart.org/images/vincent-van-gogh/water-wheels-of-mill-at-gennep-1884.jpg,1280,987,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
96,Weaver,,761a0d77fd9cf4a88919dc8e5640aebdec8e218cb3295b9c13e7a3d505755a6b.jpg,1884,Vincent van Gogh,https://uploads0.wikiart.org/images/vincent-van-gogh/weaver-1884-4.jpg,2077,1601,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,train,0,0,0,0,0,0
97,Weaver,,1435e9600b3ad12f6a47fc4a081a85ab089ab1084d16df208337057d265f6442.jpg,1884,Vincent van Gogh,https://uploads0.wikiart.org/images/vincent-van-gogh/weaver-1884-5.jpg,1280,972,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
98,Weaver near an Open Window,,69be9f474528d82758fff8c7305043e61a76b0a37aca4feb60f5bbaae9724b2f.jpg,1884,Vincent van Gogh,https://uploads0.wikiart.org/images/vincent-van-gogh/weaver-near-an-open-window-1884.jpg,1280,931,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
99,"Weaver, seen from the Front",,a8bf7ab169fa34682b33a30592e0167e88c77e8dc2cd74610e2a0803422d8ffc.jpg,1884,Vincent van Gogh,https://uploads0.wikiart.org/images/vincent-van-gogh/weaver-seen-from-the-front-1884.jpg,1686,1407,,,TRUE,FALSE,FALSE,1,test,0,0,0,0,1,train,0,0,0,0,0,0
100,Wood Gatherers In The Snow,,77532e4dedee1b5330ef273033c28855f456651bd68e89125b56960966afcb54.jpg,1884,Vincent van Gogh,https://uploads0.wikiart.org/images/vincent-van-gogh/wood-gatherers-in-the-snow-1884.jpg,791,396,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,train,0,0,0,0,0,0
101,Landscape with windswept trees,,e7dc27b7a5c2e444f36bf3dffbc0b88bd7527a395966436a2b288606c23ecb4c.jpg,1884,Vincent van Gogh,https://uploads4.wikiart.org/images/vincent-van-gogh/landscape-with-windswept-trees-1884.jpg,2000,1297,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,train,0,0,0,0,0,0
102,Autumn Landscape,,b09e3e8ebe351aba2f93ef8c49cb6632a8567df1d97b7954928c29e652889fda.jpg,1885,Vincent van Gogh,https://uploads2.wikiart.org/images/vincent-van-gogh/autumn-landscape-1885(1).jpg,1280,961,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
103,Autumn Landscape at Dusk,,0f78f596838b32a1c00a9f5d56647d3907bc681e2eac0d13f0ce0a80b6ec38ea.jpg,1885,Vincent van Gogh,https://uploads1.wikiart.org/images/vincent-van-gogh/autumn-landscape-at-dusk-1885(1).jpg,1774,1006,,,TRUE,FALSE,FALSE,1,val,0,0,0,0,1,train,0,0,0,0,0,0
104,Autumn Landscape with Four Trees,,47219893a35c2b105463c8609b15d4581e7a689f15ac82eadcc9dc77d296dfd8.jpg,1885,Vincent van Gogh,https://uploads0.wikiart.org/images/vincent-van-gogh/autumn-landscape-with-four-trees-1885(1).jpg,2237,1759,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,train,0,0,0,0,0,0
105,Backyards of Old Houses in Antwerp in the Snow,,1d5e85f18a9a533f8b47b0f3f94e45a4c84943479bd023bc452e4177b940514c.jpg,1885,Vincent van Gogh,https://uploads2.wikiart.org/images/vincent-van-gogh/backyards-of-old-houses-in-antwerp-in-the-snow-1885.jpg,2399,3140,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
106,Basket of Potatoes,,ad6038ac93fa26d519006debc55e5e5e9e27b6b5eccd346a6b6d281c306bfbdf.jpg,1885,Vincent van Gogh,https://uploads4.wikiart.org/images/vincent-van-gogh/basket-of-potatoes-1885(1).jpg,1521,1107,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
107,Basket of Potatoes,,3da0692bcf79b894335deea0d2f07c80228934938c3733ab5d5195794315fe8b.jpg,1885,Vincent van Gogh,https://uploads6.wikiart.org/images/vincent-van-gogh/basket-of-potatoes-1885-1(1).jpg,1396,1063,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
108,Baskets of Potatoes,,20d54ea99951b5ec20fe4f25b3e12a4e610bdd4a5fa476aea9f6e901150361e1.jpg,1885,Vincent van Gogh,https://uploads5.wikiart.org/images/vincent-van-gogh/baskets-of-potatoes-1885(1).jpg,1283,1065,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,test,0,0,0,0,0,0
109,Beer Tankards,,e877a9d92ed28b058e08193ac90c5ac96488260932d102aa54a625f44431ba8c.jpg,1885,Vincent van Gogh,https://uploads8.wikiart.org/images/vincent-van-gogh/beer-tankards-1885(1).jpg,1389,1022,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
110,Bobbin Winder,,2ecfd32934e68bda665b7ea46adfcfccf6fce2b8feecd2268a4297d55b9b796c.jpg,1885,Vincent van Gogh,https://uploads8.wikiart.org/images/vincent-van-gogh/bobbin-winder-1885(1).jpg,1024,782,,,TRUE,FALSE,FALSE,1,test,0,0,0,0,1,train,0,0,0,0,0,0
111,Cottage and Woman with Goat,,f34050c3e395e72a70aef9e2fa935af3cb6545bfe344480bbf77f70f5349cf6c.jpg,1885,Vincent van Gogh,https://uploads4.wikiart.org/images/vincent-van-gogh/cottage-and-woman-with-goat-1885(1).jpg,2724,1905,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,train,0,0,0,0,0,0
112,Cottage with Decrepit Barn and Stooping Woman,,f618c2cdef6685f19e0eedb6520921ab5a24589135b2a4beb2abbfa10371fd56.jpg,1885,Vincent van Gogh,https://uploads4.wikiart.org/images/vincent-van-gogh/cottage-with-decrepit-barn-and-stooping-woman-1885(1).jpg,1776,951,,,TRUE,FALSE,FALSE,1,test,0,0,0,0,1,test,0,0,0,0,0,0
113,Cottage with Peasant Coming Home,,2dddf4857c2081dfdd317e304f7ebac7306accbf19fff5f0b0b83c1fb3911877.jpg,1885,Vincent van Gogh,https://uploads0.wikiart.org/images/vincent-van-gogh/cottage-with-peasant-coming-home-1885(1).jpg,1024,855,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
114,Cottage with Peasant Woman Digging,,d766f5cafce51b200516596d6edeba2163c7bb312ebd097a0032e3fa3eccf956.jpg,1885,Vincent van Gogh,https://uploads2.wikiart.org/images/vincent-van-gogh/cottage-with-peasant-woman-digging-1885(1).jpg,1766,1372,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
115,Cottage with Trees,,1dc39a9e4575d7f07e141382922f95e4ff37dc2ce9fe7a496adeb6bac22d447f.jpg,1885,Vincent van Gogh,https://uploads4.wikiart.org/images/vincent-van-gogh/cottage-with-trees-1885(1).jpg,1024,682,,,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Cottage with Trees,,8f844f630576e1703cfbfde106f4ee77b1863a959c298292851e0c3c7c5fbe8e.jpg,1885,Vincent van Gogh,https://uploads6.wikiart.org/images/vincent-van-gogh/cottage-with-trees-1885-1(1).jpg,1773,1284,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,train,0,0,0,0,0,0
117,Cottage with Trees and Peasant Woman,,50afddcadc860f393d5a12832730a00829f96e2b911e4b7aecdab8e32d2c8b48.jpg,1885,Vincent van Gogh,https://uploads4.wikiart.org/images/vincent-van-gogh/cottage-with-trees-and-peasant-woman-1885(1).jpg,935,1024,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
118,Cottage with Woman Digging,,dba0e85e685602e11ac6bcb445b3f1ad72cb83605b2ba41552098f5021e30f3c.jpg,1885,Vincent van Gogh,https://uploads3.wikiart.org/images/vincent-van-gogh/cottage-with-woman-digging-1885(1).jpg,1280,931,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,1,test,0,0,0,0,0,0
119,Country Churchyard and Old Church Tower,,f3347e97e86dc2705b1bcb44019467ac6cb3c49bc3fe3f8ac1bfa83928deab18.jpg,1885,Vincent van Gogh,https://uploads7.wikiart.org/images/vincent-van-gogh/country-churchyard-and-old-church-tower-1885(1).jpg,2024,1611,,,TRUE,FALSE,FALSE,1,train,0,0,0,0,0,0,0,0,0,0,0,0
120,Country Lane with Two Figures,,6a31adcb98b92ed94135bbe2a77f73d9b40c73076991608f1491b73c2374d389.jpg,1885,Vincent van Gogh,https://uploads6.wikiart.org/images/vincent-van-gogh/country-lane-with-two-figures-1885(1).jpg,1773,1360,,,TRUE,FALSE,FALSE,1,val,0,0,0,0,0,0,0,0,0,0,0,0
121,Four Peasants at a Meal (Study for 'The Potato Eaters'),,51a9b0d1de0b9118b36d5365ea2ead307d78f55a8df676a994d2722089b000b8.jpg,1885,Vincent van Gogh,https://uploads1.wikiart.org/images/vincent-van-gogh/four-peasants-at-a-meal-study-for-the-potato-eaters-1885(1).jpg,1280,930,,,TRUE,FALSE,FALSE,1,val,0,0,0,0,0,0,0,0,0,0,0,0
